Order_ID,Order_Date,Delivery_Date,Customer_ID,Region,City,Courier_Partner,Product_Category,Order_Value
ORD100000,2023-09-28,2023-10-07,CUST6233,South,Bangalore,Ecom Express,Sports,36261.65
ORD100001,2023-12-04,2023-12-09,CUST9564,East,Kolkata,India Post,Home,20040.1
ORD100002,2023-01-01,2023-01-07,CUST8098,South,Kolkata,India Post,Home,29986.08
ORD100003,2023-04-12,2023-04-14,CUST3172,South,Hyderabad,DTDC,Electronics,13637.66
ORD100004,2023-06-09,2023-06-13,CUST5109,West,Delhi,DTDC,Home,47214.44
ORD100005,2023-07-12,2023-07-14,CUST9247,East,Hyderabad,India Post,Sports,24700.58
ORD100006,2023-08-06,2023-08-15,CUST9675,East,Bangalore,Delhivery,Electronics,10220.64
ORD100007,2023-06-03,2023-06-10,CUST4150,East,Mumbai,Delhivery,Electronics,31168.7
ORD100008,2023-03-29,2023-03-30,CUST7848,South,Kolkata,India Post,Fashion,13806.66
ORD100009,2023-05-07,2023-05-16,CUST3675,West,Hyderabad,DTDC,Sports,39770.15
ORD100010,2023-08-20,2023-08-28,CUST9946,West,Bangalore,Delhivery,Beauty,27276.86
ORD100011,2023-07-03,2023-07-08,CUST5912,West,Delhi,Delhivery,Fashion,49014.16
ORD100012,2023-06-28,2023-07-04,CUST6258,North,Kolkata,Blue Dart,Electronics,49398.08
ORD100013,2023-11-08,2023-11-14,CUST3613,North,Bangalore,Ecom Express,Beauty,46716.87
ORD100014,2023-01-04,2023-01-12,CUST5193,South,Bangalore,Blue Dart,Home,34742.61
ORD100015,2023-10-19,2023-10-21,CUST2142,East,Delhi,Ecom Express,Beauty,41081.75
ORD100016,2023-09-17,2023-09-23,CUST9914,South,Kolkata,India Post,Home,8521.71
ORD100017,2023-06-15,2023-06-23,CUST3603,East,Delhi,Blue Dart,Fashion,21133.95
ORD100018,2023-10-23,2023-10-28,CUST1792,East,Hyderabad,Delhivery,Sports,24638.16
ORD100019,2023-09-16,2023-09-24,CUST4332,West,Chennai,Delhivery,Home,22879.43
ORD100020,2023-11-04,2023-11-08,CUST5310,South,Mumbai,Ecom Express,Home,42971.62
ORD100021,2023-05-27,2023-05-29,CUST2107,East,Kolkata,Ecom Express,Beauty,29644.85
ORD100022,2023-06-01,2023-06-11,CUST9733,West,Delhi,Ecom Express,Fashion,39238.13
ORD100023,2023-05-11,2023-05-19,CUST7466,South,Delhi,Blue Dart,Electronics,15154.33
ORD100024,2023-10-11,2023-10-19,CUST5457,South,Mumbai,Blue Dart,Home,37488.41
ORD100025,2023-06-09,2023-06-10,CUST6951,South,Mumbai,Blue Dart,Beauty,38394.36
ORD100026,2023-11-11,2023-11-14,CUST2916,South,Bangalore,India Post,Sports,9242.18
ORD100027,2023-11-27,2023-12-02,CUST2861,South,Bangalore,Blue Dart,Home,2427.58
ORD100028,2023-07-16,2023-07-24,CUST1694,North,Delhi,India Post,Sports,42224.34
ORD100029,2023-09-04,2023-09-09,CUST5697,East,Bangalore,Ecom Express,Fashion,30432.79
ORD100030,2023-09-06,2023-09-07,CUST1008,East,Delhi,Ecom Express,Home,380.94
ORD100031,2023-04-17,2023-04-27,CUST2780,North,Bangalore,India Post,Sports,33963.21
ORD100032,2023-10-06,2023-10-09,CUST2269,North,Kolkata,India Post,Electronics,23721.71
ORD100033,2023-11-16,2023-11-26,CUST3589,North,Mumbai,India Post,Sports,8346.45
ORD100034,2023-10-25,2023-10-28,CUST5116,North,Delhi,Ecom Express,Sports,31543.07
ORD100035,2023-07-24,2023-07-29,CUST2628,East,Kolkata,Delhivery,Beauty,29134.27
ORD100036,2023-05-07,2023-05-09,CUST9860,North,Mumbai,Ecom Express,Home,29778.28
ORD100037,2023-11-01,2023-11-04,CUST4264,East,Chennai,Delhivery,Fashion,31383.67
ORD100038,2023-07-10,2023-07-16,CUST6283,West,Kolkata,Blue Dart,Sports,14972.23
ORD100039,2023-01-23,2023-01-30,CUST8828,East,Mumbai,DTDC,Fashion,19938.75
ORD100040,2023-11-10,2023-11-18,CUST9091,East,Hyderabad,DTDC,Fashion,21681.01
ORD100041,2023-08-26,2023-09-03,CUST4925,North,Bangalore,Ecom Express,Electronics,39209.99
ORD100042,2023-08-18,2023-08-26,CUST3508,West,Mumbai,Ecom Express,Beauty,42634.27
ORD100043,2023-04-13,2023-04-22,CUST6175,South,Hyderabad,Delhivery,Beauty,35619.94
ORD100044,2023-08-01,2023-08-11,CUST4662,South,Mumbai,Blue Dart,Beauty,43829.65
ORD100045,2023-02-19,2023-02-26,CUST1309,South,Bangalore,Ecom Express,Fashion,44262.65
ORD100046,2023-08-03,2023-08-12,CUST2471,West,Mumbai,India Post,Home,36818.61
ORD100047,2023-09-02,2023-09-08,CUST2684,West,Hyderabad,DTDC,Home,48695.86
ORD100048,2023-07-18,2023-07-27,CUST4955,South,Bangalore,Ecom Express,Fashion,17406.74
ORD100049,2023-10-06,2023-10-16,CUST7985,West,Kolkata,Ecom Express,Sports,18260.46
ORD100050,2023-09-28,2023-10-05,CUST1464,South,Chennai,India Post,Beauty,3896.19
ORD100051,2023-11-23,2023-11-28,CUST9033,North,Bangalore,Delhivery,Sports,35645.2
ORD100052,2023-05-17,2023-05-26,CUST4288,East,Hyderabad,Ecom Express,Electronics,32419.65
ORD100053,2023-09-20,2023-09-27,CUST2852,East,Bangalore,Blue Dart,Electronics,39746.09
ORD100054,2023-11-09,2023-11-19,CUST3616,South,Chennai,Ecom Express,Home,29651.64
ORD100055,2023-05-22,2023-05-24,CUST3821,West,Bangalore,Blue Dart,Beauty,9262.13
ORD100056,2023-08-06,2023-08-07,CUST1235,South,Kolkata,Delhivery,Sports,45287.39
ORD100057,2023-06-16,2023-06-17,CUST2872,South,Mumbai,Delhivery,Beauty,44174.21
ORD100058,2023-01-11,2023-01-13,CUST6972,North,Mumbai,Delhivery,Electronics,15903.97
ORD100059,2023-11-20,2023-11-21,CUST7897,East,Bangalore,Ecom Express,Sports,31453.66
ORD100060,2023-02-09,2023-02-11,CUST6806,North,Bangalore,Ecom Express,Fashion,39430.6
ORD100061,2023-05-22,2023-05-24,CUST1359,North,Delhi,DTDC,Beauty,36169.77
ORD100062,2023-04-26,2023-05-05,CUST8135,East,Chennai,Ecom Express,Electronics,44986.19
ORD100063,2023-07-12,2023-07-17,CUST5709,South,Bangalore,DTDC,Fashion,12225.94
ORD100064,2023-09-03,2023-09-06,CUST5109,North,Hyderabad,Delhivery,Electronics,25168.73
ORD100065,2023-10-21,2023-10-22,CUST8887,West,Chennai,Delhivery,Beauty,28264.09
ORD100066,2023-11-23,2023-11-26,CUST5557,North,Mumbai,Ecom Express,Home,12368.15
ORD100067,2023-03-20,2023-03-30,CUST8753,South,Mumbai,Blue Dart,Electronics,47822.57
ORD100068,2023-04-10,2023-04-11,CUST6132,South,Chennai,DTDC,Beauty,13725.03
ORD100069,2023-02-13,2023-02-22,CUST4927,North,Delhi,Delhivery,Home,27948.9
