Order_ID,Order_Date,Delivery_Date,Customer_ID,Region,City,Courier_Partner,Product_Category,Order_Value,Delivery_Days,Delivery_Status
ORD100000,2023-11-24,2023-11-27,CUST9935,North,Lucknow,DTDC,Fashion,36955.33,3,On-Time
ORD100001,2023-02-14,2023-02-17,CUST4257,East,Kolkata,India Post,Fashion,12016.71,3,On-Time
ORD100002,2023-11-29,2023-12-03,CUST3615,East,Bhubaneswar,DTDC,Sports,14270.44,4,On-Time
ORD100003,2023-12-24,2024-01-02,CUST6881,South,Chennai,India Post,Home,5559.41,9,Delayed
ORD100004,2023-06-26,2023-06-28,CUST2291,East,Kolkata,Delhivery,Sports,6678.9,2,On-Time
ORD100005,2023-10-10,2023-10-16,CUST5741,South,Chennai,Blue Dart,Electronics,2768.31,6,Delayed
ORD100006,2023-02-10,2023-02-18,CUST7065,West,Mumbai,DTDC,Beauty,31966.38,8,Delayed
ORD100007,2023-07-01,2023-07-08,CUST5010,North,Lucknow,Delhivery,Electronics,30651.98,7,Delayed
ORD100008,2023-03-25,2023-03-31,CUST1916,South,Chennai,Ecom Express,Sports,11370.95,6,Delayed
ORD100009,2023-04-28,2023-05-01,CUST6155,West,Pune,DTDC,Electronics,10943.65,3,On-Time
ORD100010,2023-04-19,2023-04-25,CUST9830,East,Bhubaneswar,Ecom Express,Beauty,7572.14,6,Delayed
ORD100011,2023-05-15,2023-05-17,CUST3266,East,Bhubaneswar,Ecom Express,Beauty,18418.82,2,On-Time
ORD100012,2023-09-18,2023-09-20,CUST7916,South,Bangalore,Ecom Express,Fashion,31558.58,2,On-Time
ORD100013,2023-11-02,2023-11-03,CUST1188,North,Lucknow,Blue Dart,Beauty,26691.16,1,On-Time
ORD100014,2023-12-15,2023-12-21,CUST8433,East,Bhubaneswar,Delhivery,Home,6021.83,6,Delayed
ORD100015,2023-01-02,2023-01-08,CUST5889,West,Pune,Ecom Express,Fashion,25630.24,6,Delayed
ORD100016,2023-11-24,2023-11-26,CUST9689,East,Kolkata,India Post,Fashion,27199.26,2,On-Time
ORD100017,2023-01-01,2023-01-04,CUST6038,East,Bhubaneswar,India Post,Home,43996.73,3,On-Time
ORD100018,2023-05-03,2023-05-05,CUST9727,North,Delhi,India Post,Beauty,40893.15,2,On-Time
ORD100019,2023-03-06,2023-03-07,CUST7932,North,Lucknow,Ecom Express,Fashion,13620.3,1,On-Time
ORD100020,2023-04-19,2023-04-23,CUST8177,West,Mumbai,Delhivery,Beauty,49759.89,4,On-Time
ORD100021,2023-09-22,2023-09-28,CUST4608,South,Bangalore,DTDC,Home,1541.2,6,Delayed
ORD100022,2023-01-04,2023-01-11,CUST4899,North,Delhi,DTDC,Electronics,43051.95,7,Delayed
ORD100023,2023-05-23,2023-05-29,CUST8749,East,Kolkata,Blue Dart,Sports,29022.48,6,Delayed
ORD100024,2023-07-28,2023-08-03,CUST1887,North,Delhi,Delhivery,Home,21467.14,6,Delayed
ORD100025,2023-12-11,2023-12-18,CUST4139,East,Kolkata,India Post,Home,40129.33,7,Delayed
ORD100026,2023-04-08,2023-04-10,CUST2235,East,Kolkata,Blue Dart,Home,23400.09,2,On-Time
ORD100027,2023-08-15,2023-08-18,CUST4872,West,Mumbai,India Post,Sports,41883.37,3,On-Time
ORD100028,2023-03-27,2023-04-02,CUST1035,South,Chennai,DTDC,Beauty,45170.92,6,Delayed
ORD100029,2023-07-19,2023-07-25,CUST4111,South,Chennai,DTDC,Sports,33262.63,6,Delayed
ORD100030,2023-06-01,2023-06-07,CUST1821,North,Delhi,Blue Dart,Sports,3517.4,6,Delayed
ORD100031,2023-10-27,2023-11-06,CUST2113,South,Bangalore,India Post,Sports,4465.52,10,Delayed
ORD100032,2023-12-12,2023-12-15,CUST2343,West,Pune,India Post,Sports,12687.66,3,On-Time
ORD100033,2023-08-03,2023-08-09,CUST5351,East,Bhubaneswar,Ecom Express,Fashion,33651.44,6,Delayed
ORD100034,2023-07-22,2023-07-25,CUST2638,North,Lucknow,Blue Dart,Electronics,961.12,3,On-Time
ORD100035,2023-02-07,2023-02-09,CUST7054,East,Bhubaneswar,India Post,Home,44102.78,2,On-Time
ORD100036,2023-05-26,2023-05-29,CUST5905,North,Lucknow,Delhivery,Sports,887.24,3,On-Time
ORD100037,2023-12-06,2023-12-12,CUST5616,North,Delhi,DTDC,Electronics,37249.63,6,Delayed
ORD100038,2023-11-06,2023-11-12,CUST1832,North,Lucknow,DTDC,Home,25517.75,6,Delayed
ORD100039,2023-02-17,2023-02-20,CUST5291,East,Bhubaneswar,India Post,Home,38670.4,3,On-Time
ORD100040,2023-03-24,2023-03-27,CUST3442,East,Bhubaneswar,Blue Dart,Electronics,4224.57,3,On-Time
ORD100041,2023-10-07,2023-10-14,CUST6974,North,Lucknow,Blue Dart,Fashion,21774.44,7,Delayed
ORD100042,2023-01-21,2023-01-23,CUST7658,West,Mumbai,Delhivery,Electronics,18007.09,2,On-Time
ORD100043,2023-11-14,2023-11-20,CUST6442,East,Kolkata,Ecom Express,Fashion,44130.1,6,Delayed
ORD100044,2023-07-30,2023-08-05,CUST8711,West,Mumbai,DTDC,Electronics,19435.82,6,Delayed
ORD100045,2023-04-24,2023-04-26,CUST7528,North,Lucknow,DTDC,Fashion,11534.72,2,On-Time
ORD100046,2023-06-18,2023-06-20,CUST9785,South,Bangalore,Ecom Express,Home,17881.73,2,On-Time
ORD100047,2023-06-19,2023-06-22,CUST5349,West,Mumbai,Ecom Express,Home,9339.11,3,On-Time
ORD100048,2023-01-20,2023-01-23,CUST2894,North,Lucknow,DTDC,Home,22101.5,3,On-Time
ORD100049,2023-07-17,2023-07-19,CUST9821,West,Mumbai,DTDC,Beauty,583.72,2,On-Time
ORD100050,2023-12-18,2023-12-21,CUST6143,East,Kolkata,DTDC,Electronics,47469.29,3,On-Time
ORD100051,2023-12-06,2023-12-08,CUST3085,West,Pune,Blue Dart,Beauty,16646.05,2,On-Time
ORD100052,2023-04-09,2023-04-15,CUST9977,South,Chennai,Delhivery,Fashion,30967.99,6,Delayed
ORD100053,2023-01-01,2023-01-08,CUST8238,South,Bangalore,Blue Dart,Sports,30529.75,7,Delayed
ORD100054,2023-08-15,2023-08-22,CUST6491,East,Bhubaneswar,Delhivery,Fashion,33113.11,7,Delayed
ORD100055,2023-02-17,2023-02-24,CUST1757,West,Mumbai,Delhivery,Fashion,40424.86,7,Delayed
ORD100056,2023-05-06,2023-05-08,CUST9099,West,Mumbai,Blue Dart,Sports,10124.54,2,On-Time
ORD100057,2023-07-24,2023-07-30,CUST9486,North,Delhi,Ecom Express,Electronics,39031.81,6,Delayed
ORD100058,2023-08-26,2023-08-28,CUST9702,North,Delhi,Ecom Express,Electronics,23094.86,2,On-Time
ORD100059,2023-10-14,2023-10-17,CUST8305,East,Bhubaneswar,Delhivery,Sports,21623.67,3,On-Time
ORD100060,2023-03-23,2023-03-29,CUST9540,East,Bhubaneswar,Blue Dart,Fashion,42073.21,6,Delayed
ORD100061,2023-09-06,2023-09-12,CUST9849,East,Bhubaneswar,Blue Dart,Home,12107.43,6,Delayed
ORD100062,2023-02-11,2023-02-17,CUST7678,North,Delhi,DTDC,Fashion,35467.75,6,Delayed
ORD100063,2023-06-19,2023-06-21,CUST1320,East,Bhubaneswar,India Post,Beauty,19779.1,2,On-Time
ORD100064,2023-10-22,2023-10-25,CUST7865,South,Bangalore,Ecom Express,Home,37797.02,3,On-Time
ORD100065,2023-10-03,2023-10-11,CUST6507,East,Kolkata,Blue Dart,Home,22073.88,8,Delayed
ORD100066,2023-12-09,2023-12-11,CUST9751,East,Bhubaneswar,Delhivery,Beauty,46017.31,2,On-Time
ORD100067,2023-01-14,2023-01-23,CUST1823,West,Mumbai,India Post,Beauty,7217.12,9,Delayed
ORD100068,2023-05-14,2023-05-21,CUST7906,South,Bangalore,Blue Dart,Home,38180.87,7,Delayed
ORD100069,2023-05-10,2023-05-12,CUST4673,West,Pune,India Post,Sports,3078.24,2,On-Time
ORD100070,2023-11-29,2023-12-05,CUST3496,North,Delhi,Delhivery,Fashion,10368.35,6,Delayed
ORD100071,2023-05-03,2023-05-11,CUST7043,North,Delhi,Blue Dart,Fashion,23519.18,8,Delayed
ORD100072,2023-03-27,2023-04-02,CUST1420,East,Kolkata,Delhivery,Fashion,48253.68,6,Delayed
ORD100073,2023-06-09,2023-06-13,CUST4978,East,Bhubaneswar,DTDC,Fashion,4261.83,4,On-Time
ORD100074,2023-02-22,2023-02-23,CUST1672,East,Bhubaneswar,Ecom Express,Sports,40373.63,1,On-Time
ORD100075,2023-06-27,2023-07-05,CUST9031,East,Bhubaneswar,India Post,Home,1126.28,8,Delayed
ORD100076,2023-02-24,2023-02-26,CUST9548,South,Chennai,Delhivery,Beauty,35511.78,2,On-Time
ORD100077,2023-11-30,2023-12-02,CUST2419,South,Chennai,Blue Dart,Sports,13785.58,2,On-Time
ORD100078,2023-05-23,2023-05-25,CUST1470,West,Mumbai,Delhivery,Sports,30711.42,2,On-Time
ORD100079,2023-09-11,2023-09-17,CUST5526,West,Mumbai,Blue Dart,Home,39992.7,6,Delayed
ORD100080,2023-10-12,2023-10-15,CUST8800,North,Delhi,India Post,Beauty,24684.6,3,On-Time
ORD100081,2023-11-27,2023-12-03,CUST4986,East,Bhubaneswar,Delhivery,Electronics,15064.66,6,Delayed
ORD100082,2023-06-06,2023-06-10,CUST6419,East,Bhubaneswar,Blue Dart,Sports,17515.99,4,On-Time
ORD100083,2023-06-30,2023-07-06,CUST2958,East,Bhubaneswar,DTDC,Fashion,6472.47,6,Delayed
